program,year,semester,name,code,credit,is_elective
Bachelor of Architecture,1,1,Design Studio 1,AR 111,20,false
Bachelor of Architecture,1,1,Physical Modelling and Fine Art,AR 121,4,false
Bachelor of Architecture,1,1,Building Construction 1,AR 131,4,false
Bachelor of Architecture,1,1,Building Materials 1,AR 141,4,false
Bachelor of Architecture,1,1,Basic Mathematics,IS 149,8,false
Bachelor of Architecture,1,1,Environmental Science 1,AR 165,4,false
Bachelor of Architecture,1,1,English Language,CS 101,8,false
Bachelor of Architecture,1,1,Introduction to Information Communication Technology,IS 161,8,false
Bachelor of Architecture,1,1,Development Perspectives,DS 101,8,false
Bachelor of Architecture,1,2,Design studio Project II,AR 112,20,false
Bachelor of Architecture,1,2,Architectural Graphics Communication I,AR 122,4,false
Bachelor of Architecture,1,2,Building Construction II,AR 132,4,false
Bachelor of Architecture,1,2,Building Materials I,AR 142,4,false
Bachelor of Architecture,1,2,Building Structures I,AR 151,4,false
Bachelor of Architecture,1,2,Theory of Architecture I,AR 161,4,false
Bachelor of Architecture,1,2,Communication Skills,DS 102,8,false
Bachelor of Architecture,1,2,Development Perspectives II,CS 102,8,false
Bachelor of Architecture,1,2,Topographical Surveying,GM 112,8,false
Bachelor of Architecture,1,2,Industrial Training I,AR 181,8,false
Bachelor of Architecture,2,1,Design Studio III,AR 213,20,false
Bachelor of Architecture,2,1,Architectural Graphics Communication II,AR 223,4,false
Bachelor of Architecture,2,1,Building Construction III,AR 233,8,false
Bachelor of Architecture,2,1,Building Materials III,AR 243,8,false
Bachelor of Architecture,2,1,Building Structures,AR 252,4,false
Bachelor of Architecture,2,1,History of Architecture II,AR 262,8,false
Bachelor of Architecture,2,1,Environmental Science II,AR 266,8,false
Bachelor of Architecture,2,1,Introduction to land Surveying,GM 111,8,false
Bachelor of Architecture,2,2,Design Studio Project IV,AR 214,20,false
Bachelor of Architecture,2,2,Architectural Graphics Communication III,AR 224,4,false
Bachelor of Architecture,2,2,Building Construction IV,AR 234,8,false
Bachelor of Architecture,2,2,Building Materials IV,AR 244,8,false
Bachelor of Architecture,2,2,Structures III,AR 253,4,false
Bachelor of Architecture,2,2,Environmental Science III,AR 267,4,false
Bachelor of Architecture,2,2,Professional Practice I,AR 225,4,false
Bachelor of Architecture,2,2,Basics of Quantity Surveying I,QC 220,8,false
Bachelor of Architecture,2,2,Settlement Planning I,AR 271,4,false
Bachelor of Architecture,2,2,Industrial Training II,AR 282,8,false
Bachelor of Architecture,3,1,Design Studio,AR 315,20,false
Bachelor of Architecture,3,1,Building Construction V,AR 335,8,false
Bachelor of Architecture,3,1,Building Structures IV,AR 354,8,false
Bachelor of Architecture,3,1,Building Services I,AR 357,8,false
Bachelor of Architecture,3,1,History and Theory of Architecture III,AR 363,8,false
Bachelor of Architecture,3,1,Professional Practice II,AR 326,8,false
Bachelor of Architecture,3,1,Construction Economics II,QC 435,8,false
Bachelor of Architecture,3,2,Design Studio,AR 316,20,false
Bachelor of Architecture,3,2,Building Construction VI,AR 336,8,false
Bachelor of Architecture,3,2,Structures V,AR 355,8,false
Bachelor of Architecture,3,2,Building Services II,AR 358,8,false
Bachelor of Architecture,3,2,Settlement Planning II,AR 372,8,false
Bachelor of Architecture,3,2,Urban Design,AR 373,8,false
Bachelor of Architecture,3,2,Industrial Training III,AR 383,8,false
Bachelor of Architecture,4,1,Design Studio VII,AR 417,20,false
Bachelor of Architecture,4,1,Building Construction VII,AR 437,8,false
Bachelor of Architecture,4,1,Building Structures VI,AR 456,8,false
Bachelor of Architecture,4,1,Building Services III,AR 459,8,false
Bachelor of Architecture,4,1,History and Theory of Architecture IV,AR 464,8,false
Bachelor of Architecture,4,1,Architectural Conservation,AR 491,8,true
Bachelor of Architecture,4,1,Urban Development and Housing,AR 492,8,true
Bachelor of Architecture,4,1,Architectural Science,AR 493,8,true
Bachelor of Architecture,4,1,Building Information Modeling,AR 494,8,true
Bachelor of Architecture,4,2,Design Studio VIII,AR 418,20,false
Bachelor of Architecture,4,2,Professional Practice III,AR 427,8,false
Bachelor of Architecture,4,2,Research Methodology,LM 238,8,false
Bachelor of Architecture,4,2,Entrepreneurship,BB 313,8,false
Bachelor of Architecture,4,2,Industrial Training IV,AR 484,8,false
Bachelor of Architecture,5,1,Design Studio,AR 519,24,false
Bachelor of Architecture,5,1,Pre-dissertation,AR 585,36,false
Bachelor of Architecture,5,2,Dissertation,AR 586,60,false
Bachelor of Science in Landscape Architecture,1,1,Design Studio Projects I,LA 111,20,false
Bachelor of Science in Landscape Architecture,1,1,Physical Modeling and Fine Art,AR 121,4,false
Bachelor of Science in Landscape Architecture,1,1,Landscape Construction and Services I,LA 131,8,false
Bachelor of Science in Landscape Architecture,1,1,Landscape Materials I,LA 141,8,false
Bachelor of Science in Landscape Architecture,1,1,Fundamentals of Soil and Botanic Sciences,LA 161,12,false
Bachelor of Science in Landscape Architecture,1,1,Introduction to Land Surveying,GM 111,8,false
Bachelor of Science in Landscape Architecture,1,1,English Language,CS 101,8,false
Bachelor of Science in Landscape Architecture,1,1,Introduction to ICT,IS 161,8,false
Bachelor of Science in Landscape Architecture,1,1,Development Perspectives I,DS 101,8,false
Bachelor of Science in Landscape Architecture,1,1,Basic Mathematics,IS 149,8,false
Bachelor of Science in Landscape Architecture,1,2,Studio Design Project II,LA112,20,false
Bachelor of Science in Landscape Architecture,1,2,Design Graphics I,LA122,4,false
Bachelor of Science in Landscape Architecture,1,2,Landscape Construction and Services II,LA132,4,false
Bachelor of Science in Landscape Architecture,1,2,Landscape Materials II,LA142,4,false
