university,college,program,duration
University of Dar es Salaam,College of Engineering and Technology,Bachelor of Science in Computer Engineering,4
University of Dar es Salaam,College of Engineering and Technology,Bachelor of Science in Electrical Engineering,4
University of Dar es Salaam,College of Engineering and Technology,Bachelor of Science in Mechanical Engineering,4
University of Dar es Salaam,College of Information and Communication Technologies,Bachelor of Science in Computer Science,3
University of Dar es Salaam,College of Information and Communication Technologies,Bachelor of Science in Information Systems,3
University of Dar es Salaam,College of Information and Communication Technologies,Master of Science in Computer Science,2
University of Dar es Salaam,College of Natural and Applied Sciences,Bachelor of Science in Mathematics,3
University of Dar es Salaam,College of Natural and Applied Sciences,Bachelor of Science in Physics,3
University of Dar es Salaam,College of Natural and Applied Sciences,Bachelor of Science in Chemistry,3
University of Dar es Salaam,College of Social Sciences,Bachelor of Arts in Economics,3
University of Dar es Salaam,College of Social Sciences,Bachelor of Arts in Political Science,3
University of Dar es Salaam,College of Social Sciences,Bachelor of Arts in Sociology,3
Muhimbili University of Health and Allied Sciences,School of Medicine,Doctor of Medicine,5
Muhimbili University of Health and Allied Sciences,School of Pharmacy,Bachelor of Pharmacy,4
Muhimbili University of Health and Allied Sciences,School of Nursing,Bachelor of Science in Nursing,4
Sokoine University of Agriculture,College of Agriculture,Bachelor of Science in Agriculture,4
Sokoine University of Agriculture,College of Forestry,Bachelor of Science in Forestry,4
Sokoine University of Agriculture,College of Veterinary Medicine,Doctor of Veterinary Medicine,5
Ardhi University,School of Architecture,Bachelor of Architecture,5
Ardhi University,School of Environmental Science,Bachelor of Science in Environmental Engineering,4








